データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
78,200411,土,3中5,11,ニュージG2,馬齢,国,ソウルトレイン,,牡,3,田辺裕信, 56 ,,16,"  ",,8,５,芝1600,良,0.5,4,5,4,35.4,0.5,464,+2,,(栗),西村真幸,レッドスパーダ,チチカステナンゴ
79,200411,土,3中5,11,ニュージG2,馬齢,国,ハーモニーマゼラン,,牡,3,大野拓弥, 56 ,,16,"  ",,3,６,芝1600,良,0.6,2,2,2,35.8,0.2,516,0,,(美),牧光二,ダイワメジャー,"Sea The Stars"
80,200411,土,3中5,11,ニュージG2,馬齢,国,オーロラフラッシュ,,牝,3,ルメール, 54 ,,16,"  ",,1,７,芝1600,良,0.8,10,9,10,35.2,1.0,456,+8,*,(美),藤沢和雄,Frankel,"Danehill Dancer"
81,200411,土,3中5,11,ニュージG2,馬齢,国,コウソクスピード,,牡,3,丸山元気, 56 ,,16,"  ",,12,８,芝1600,良,1.0,7,7,7,35.7,0.7,518,-2,,(美),中舘英二,ヴィクトワールピサ,キングカメハメハ
82,200411,土,3中5,11,ニュージG2,馬齢,国,グレイトホーン,,牡,3,野中悠太, 56 ,,16,"  ",,16,９,芝1600,良,1.2,14,14,14,35.2,1.4,480,+2,,(美),根本康広,アルデバラン2,エンパイアメーカー
83,200411,土,3中5,11,ニュージG2,馬齢,国,マイネルグリット,,牡,3,国分優作, 56 ,,16,"  ",,11,10,芝1600,良,1.4,4,4,4,36.5,0.3,488,-4,,(栗),吉田直弘,スクリーンヒーロー,ロージズインメイ
84,200411,土,3中5,11,ニュージG2,馬齢,国,シャチ,,牡,3,山田敬士, 56 ,,16,"  ",,13,11,芝1600,良,1.6,16,16,16,35.0,2.0,456,-2,,(美),小桧山悟,リアルインパクト,ブライアンズタイム
85,200411,土,3中5,11,ニュージG2,馬齢,国,フルートフルデイズ,,牝,3,木幡巧也, 54 ,,16,"  ",,15,12,芝1600,良,1.7,9,7,9,36.3,0.8,456,+10,,(栗),浜田多実,ブラックタイド,アフリート
86,200411,土,3中5,11,ニュージG2,馬齢,国,カリオストロ,,牝,3,ヒューイ, 54 ,,16,"  ",,4,13,芝1600,良,1.7,1,1,1,37.1,0.0,454,-4,,(栗),加用正,エイシンフラッシュ,フジキセキ
87,200411,土,3中5,11,ニュージG2,馬齢,国,ソングオブザハート,,牝,3,川又賢治, 54 ,,16,"  ",,14,14,芝1600,良,2.1,14,14,14,36.1,1.4,410,-2,,(栗),寺島良,マジェスティックウォリアー,ダイワメジャー
88,200411,土,3中5,11,ニュージG2,馬齢,国,ペールエール,,牡,3,北村友一, 56 ,,16,"  ",,6,15,芝1600,良,2.1,7,9,13,36.5,1.0,506,+14,,(栗),安田隆行,ダイワメジャー,Selkirk
89,200411,土,3中5,11,ニュージG2,馬齢,国,カフェサンドリヨン,,牝,3,内田博幸, 54 ,,16,"  ",,10,16,芝1600,良,2.1,2,2,2,37.3,0.2,462,0,,(美),古賀慎明,ロードカナロア,マンハッタンカフェ
90,190406,土,3中5,11,ニュージG2,馬齢,国,ワイドファラオ,,牡,3,内田博幸, 56 ,,15,"  ",,4,１,芝1600,良,-0.0,1,1,1,33.9,0.0,512,+12,,(栗),角居勝彦,ヘニーヒューズ,アグネスタキオン
91,190406,土,3中5,11,ニュージG2,馬齢,国,メイショウショウブ,,牝,3,横山典弘, 54 ,,15,"  ",,3,２,芝1600,良,0.0,2,3,4,33.6,0.3,480,-2,,(栗),池添兼雄,ダイワメジャー,キングカメハメハ
92,190406,土,3中5,11,ニュージG2,馬齢,国,ヴィッテルスバッハ,,牡,3,戸崎圭太, 56 ,,15,"  ",,2,３,芝1600,良,0.2,14,11,11,33.3,0.8,462,+6,,(美),池上昌和,ルーラーシップ,ディープインパクト
93,190406,土,3中5,11,ニュージG2,馬齢,国,アガラス,,牡,3,ルメール, 56 ,,15,"  ",,1,４,芝1600,良,0.4,9,8,9,33.7,0.6,504,-4,,(美),古賀慎明,ブラックタイド,ブラックホーク
94,190406,土,3中5,11,ニュージG2,馬齢,国,ショーヒデキラ,,牡,3,野中悠太, 56 ,,15,"  ",,11,５,芝1600,良,0.6,7,8,7,33.9,0.6,470,+2,,(美),鈴木伸尋,ディープブリランテ,バゴ
95,190406,土,3中5,11,ニュージG2,馬齢,国,コスモカレンドゥラ,,牡,3,丹内祐次, 56 ,,15,"  ",,10,６,芝1600,良,0.6,5,3,7,34.1,0.4,446,0,,(美),田中博康,ノヴェリスト,アグネスタキオン
