Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,220409,ニュージG2,ティーガーデン,,牡,3,2,５,3,11,3中5,芝1600,良,9,8,5,2名3,芝,1400,稍,,13,16,3,８, 0.9,Ｇ３,ルメール,横山武史,498,-12,+6, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),萩原清,220319,ファルコG3
,220409,ニュージG2,エイシンシュトルム,,牡,3,10,６,3,11,3中5,芝1600,良,8,9,8,2名3,芝,1400,稍,,16,13,17,９, 0.9,Ｇ３,石川裕紀,石川裕紀,484,-2,-6, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),勢司和浩,220319,ファルコG3
,220409,ニュージG2,デルマグレムリン,,牡,3,4,７,3,11,3中5,芝1600,良,9,5,5,2名4,芝,1600,良,9,9,9,1,６, 1.1,1勝,Ｍ．デム,武豊,434,-4,-2, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),五十嵐忠,220321,フローラ･1勝
,220409,ニュージG2,サーマルウインド,,牝,3,8,８,3,11,3中5,芝1600,良,3,2,2,2中8,芝,1600,稍,2,4,5,5,１,-0.1,1勝,岩田康誠,岩田康誠,510,-4,+2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),奥村武,220321,１勝ｸﾗｽ*
,220409,ニュージG2,アバンチュリエ,,牡,3,5,９,5,11,3中5,芝1600,良,11,9,8,2中4,芝,1600,良,2,2,2,1,１,-0.1,1勝,横山武史,横山武史,466,0,+2, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),大竹正博,220306,１勝ｸﾗｽ*
,220409,ニュージG2,モチベーション,,牝,3,11,10,4,11,3中5,芝1600,良,4,5,8,1阪A,芝,1400,良,,9,9,15,11, 1.6,Ｇ２,秋山稔樹,秋山稔樹,428,0,-6, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),清水英克,220313,フィリーG2
,220409,ニュージG2,ベルウッドブラボー,,牡,3,9,11,3,11,3中5,芝1600,良,5,11,11,2名3,芝,1400,稍,,17,16,12,16, 2.6,Ｇ３,丸山元気,丸山元気,458,0,+2, 56 , 56 ,B,B,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),和田雄二,220319,ファルコG3
,210410,ニュージG2,バスラットレオン,,牡,3,2,１,4,16,3中5,芝1600,良,1,1,1,1阪9,芝,1600,稍,,1,1,1,１,-0.4,1勝,藤岡佑介,古川奈穂,480,0,+2, 56 ,52★,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),矢作芳人,210313,１勝ｸﾗｽ*
,210410,ニュージG2,タイムトゥヘヴン,,牡,3,3,２,5,16,3中5,芝1600,良,6,7,5,2中4,芝,2000,良,3,3,3,5,６, 0.6,Ｇ２,Ｍ．デム,三浦皇成,476,0,+4, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),戸田博文,210307,弥生賞G2
,210410,ニュージG2,シティレインボー,,牡,3,11,３,3,16,3中5,芝1600,良,3,2,2,2名4,芝,1600,不,7,7,5,1,５, 0.8,1勝,横山典弘,西村淳也,470,-4,-4, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池添兼雄,210321,フローラ･1勝
