データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
73,210411,日,2阪6,11,桜花賞G1,定量,国,ソダシ,,牝,3,吉田隼人, 55 ,,18,"  ",,2,１,芝1600,良,-0.0,,3,3,33.8,0.5,472,0,,(栗),須貝尚介,クロフネ,キングカメハメハ
74,210411,日,2阪6,11,桜花賞G1,定量,国,サトノレイナス,,牝,3,ルメール, 55 ,,18,"  ",,1,２,芝1600,良,0.0,,15,16,32.9,1.4,474,0,*,(美),国枝栄,ディープインパクト,"Not For Sale"
75,210411,日,2阪6,11,桜花賞G1,定量,国,ファインルージュ,,牝,3,福永祐一, 55 ,,18,"  ",,8,３,芝1600,良,0.1,,8,6,33.7,0.7,488,-4,,(美),木村哲也,キズナ,ボストンハーバー
76,210411,日,2阪6,11,桜花賞G1,定量,国,アカイトリノムスメ,,牝,3,横山武史, 55 ,,18,"  ",,4,４,芝1600,良,0.2,,3,6,33.9,0.6,444,-6,*,(美),国枝栄,ディープインパクト,キングカメハメハ
77,210411,日,2阪6,11,桜花賞G1,定量,国,アールドヴィーヴル,,牝,3,Ｍ．デム, 55 ,,18,"  ",,5,５,芝1600,良,0.7,,8,9,34.1,0.9,422,-6,,(栗),今野貞一,キングカメハメハ,ディープインパクト
78,210411,日,2阪6,11,桜花賞G1,定量,国,ククナ,,牝,3,藤岡佑介, 55 ,,18,"  ",,9,６,芝1600,良,0.7,,18,18,33.2,1.8,446,-6,,(美),栗田徹,キングカメハメハ,ディープインパクト
79,210411,日,2阪6,11,桜花賞G1,定量,国,ストゥーティ,,牝,3,岩田康誠, 55 ,,18,"  ",,14,７,芝1600,良,0.8,,1,2,34.9,0.2,422,0,,(栗),奥村豊,モーリス,ゼンノロブロイ
80,210411,日,2阪6,11,桜花賞G1,定量,国,エンスージアズム,,牝,3,岩田望来, 55 ,,18,"  ",,15,８,芝1600,良,0.9,,11,9,34.3,0.9,418,+2,,(栗),安田翔伍,ディープインパクト,"Storm Cat"
81,210411,日,2阪6,11,桜花賞G1,定量,国,ホウオウイクセル,,牝,3,丸田恭介, 55 ,,18,"  ",,16,９,芝1600,良,1.4,,15,16,34.2,1.5,412,-2,,(美),高柳瑞樹,ルーラーシップ,スペシャルウィーク
82,210411,日,2阪6,11,桜花賞G1,定量,国,ミニーアイル,,牝,3,藤岡康太, 55 ,,18,"  ",,17,10,芝1600,良,1.4,,13,11,34.6,1.1,468,-12,,(栗),武幸四郎,ミッキーアイル,Petionville
