Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,220410,桜花賞G1,ナミュール,,牝,3,1,10,5,18,2阪6,芝1600,良,,13,12,1阪7,芝,1600,良,,7,8,1,１,-0.2,Ｇ２,横山武史,横山武史,426,-4,0, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高野友和,220305,チューリG2
,220410,桜花賞G1,プレサージュリフト,,牝,3,4,11,8,18,2阪6,芝1600,良,,18,17,1東5,芝,1600,良,,13,11,2,１,-0.1,Ｇ３,戸崎圭太,戸崎圭太,460,-4,+12, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),木村哲也,220212,クイーンG3
,220410,桜花賞G1,カフジテトラゴン,,牝,3,18,12,3,18,2阪6,芝1600,良,,1,1,1阪B,ダ,1400,重,,1,1,3,６, 1.1,1勝,古川吉洋,古川吉洋,442,-8,0, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),武英智,220319,１勝ｸﾗｽ・牝*
,220410,桜花賞G1,クロスマジェスティ,,牝,3,15,13,4,18,2阪6,芝1600,良,,4,7,2中6,芝,1600,良,2,2,2,8,１,-0.2,OP(L),武藤雅,武藤雅,472,+2,+2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),水野貴広,220313,アネモネ(L)
,220410,桜花賞G1,フォラブリューテ,,牝,3,12,14,12,18,2阪6,芝1600,良,,16,15,1名5,芝,1400,良,,7,7,1,１,-0.1,OP(L),ルメール,ルメール,442,+2,+2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),宮田敬介,220115,紅梅Ｓ(L)
,220410,桜花賞G1,アネゴハダ,,牝,3,16,15,4,18,2阪6,芝1600,良,,10,7,1阪A,芝,1400,良,,3,3,4,３, 0.3,Ｇ２,幸英明,酒井学,436,-2,-6, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),佐々木晶,220313,フィリーG2
,220410,桜花賞G1,ライラック,,牝,3,10,16,13,18,2阪6,芝1600,良,,16,17,1中4,芝,1600,良,16,9,10,5,１,-0.1,Ｇ３,福永祐一,Ｍ．デム,426,+6,-4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),相沢郁,220110,フェアリG3
,220410,桜花賞G1,ラズベリームース,,牝,3,14,17,4,18,2阪6,芝1600,良,,4,4,2中6,芝,1600,良,5,5,6,3,２, 0.2,OP(L),池添謙一,津村明秀,480,-20,+16, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),林徹,220313,アネモネ(L)
,220410,桜花賞G1,ラブリイユアアイズ,,牝,3,8,18,17,18,2阪6,芝1600,良,,2,3,6阪4,芝,1600,良,,6,6,8,２, 0.1,Ｇ１,坂井瑠星,団野大成,432,+4,-10, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),黒岩陽一,211212,阪神ジュG1
,210411,桜花賞G1,ソダシ,,牝,3,2,１,17,18,2阪6,芝1600,良,,3,3,6阪4,芝,1600,良,,5,4,1,１,-0.0,Ｇ１,吉田隼人,吉田隼人,472,0,-4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,201213,阪神ジュG1
,210411,桜花賞G1,サトノレイナス,,牝,3,1,２,17,18,2阪6,芝1600,良,,15,16,6阪4,芝,1600,良,,9,8,2,２, 0.0,Ｇ１,ルメール,ルメール,474,0,-2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(美),国枝栄,201213,阪神ジュG1
,210411,桜花賞G1,ファインルージュ,,牝,3,8,３,13,18,2阪6,芝1600,良,,8,6,1中4,芝,1600,良,9,9,7,3,１,-0.4,Ｇ３,福永祐一,ルメール,488,-4,+4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),木村哲也,210111,フェアリG3
,210411,桜花賞G1,アカイトリノムスメ,,牝,3,4,４,8,18,2阪6,芝1600,良,,3,6,1東5,芝,1600,良,,6,5,2,１,-0.0,Ｇ３,横山武史,戸崎圭太,444,-6,+4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(美),国枝栄,210213,クイーンG3
,210411,桜花賞G1,アールドヴィーヴル,,牝,3,5,５,8,18,2阪6,芝1600,良,,8,9,1東5,芝,1600,良,,10,10,5,２, 0.0,Ｇ３,Ｍ．デム,松山弘平,422,-6,-18, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),今野貞一,210213,クイーンG3
,210411,桜花賞G1,ククナ,,牝,3,9,６,8,18,2阪6,芝1600,良,,18,18,1東5,芝,1600,良,,8,7,1,３, 0.1,Ｇ３,藤岡佑介,ルメール,446,-6,+2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),栗田徹,210213,クイーンG3
